Package Name,App Name,Status,Icon Downloaded
com.payboxapp,פייבוקס ארנק דיגיטלי - PayBox,Exists,Yes
com.ideomobile.mercantile,"בנק מרכנתיל,  مركنتيل",Exists,Yes
androidYeshiva.apps.yeshiva.yeshivawebsite,ישיבה - שיעורים לוח שנה ושאלות,Exists,Yes
com.truecaller,Truecaller: שיחה מזוהה & חסימת,Exists,Yes
com.kidscrape.touchlock.lite,Touch Lock - screen lock,Exists,Yes
com.gettaxi.android,Gett הזמנת מוניות ומשלוחים,Exists,Yes
kaplandev.allfmplayer,All-FM תחנות רדיו בישראל בקליק,Exists,Yes
aiv.diy.control,,Not Found (HTTP 404),No
com.spotify.music,Spotify Music,Exists,Yes
il.co.firstdigitalbank,ONE ZERO,Exists,Yes
heb.apps.shnaimmikra,שניים מקרא ואחד תרגום,Exists,Yes
com.nocker.kehati,קהתי משנה סדורה,Exists,Yes
heb.apps.mesilatyesharim,ספר מסילת ישרים,Exists,Yes
